name,description,website,location,incubator_name
36ZERO Vision,36ZERO Vision is an AI-powered solution for visual quality assurance in manufacturing. They use proprietary deep learning algorithms to create a smart computer vision technology.,https://36zerovision.com/,"Munich, Germany",XPreneurs
Abaut,"abaut allows construction and mining companies to manage sites in real time from remote, track progress and processes, reduce risks and increase productivity through better decision making.",https://abaut.de/,"Munich, Germany",XPreneurs
Acrai,Acrai aims to disrupt the $26bn herbicides industry by enhancing state-of-the-art mechanical weeding methods with deep learning based computer vision.,,"Munich, Germany",XPreneurs
ActiTrexx,The goal of ActiTrexx is to prevent GvHD at an early stage with the cellular therapy ATreg and to provide a curative therapy with few side effects for patients with blood stem cell transplantation for the first time.,https://actitrexx.de/,"Munich, Germany",XPreneurs
Additive Marking,Additive Marking develops a software to enable companies to automatically and individually mark each of their 3D printed products with machine readable or invisible codes directly during the printing process of each product.,https://additive-marking.de/,"Munich, Germany",XPreneurs
adiutaByte,adiutaByte offers a dynamic real-time optimization software for service fleets including various hard and soft parameters and restrictions such as employee qualifications or customer preferences.,https://www.adiutabyte.de/,"Munich, Germany",XPreneurs
AdRegeneer,The mission of AdRegeneer is to bring regenerative treatments for the nervous system into the market. These treatments will enable patients to recover their lost functions after lesion due to neurodegenerative diseases such as multiple sclerosis or due to a traumatic injury.,https://www.adregeneer.com/,"Munich, Germany",XPreneurs
AIM Manufactory,"AIM Manufactory develops in cooperation with leading medical experts an AI-driven, collaborative platform that profoundly enhances cancer screening, detection, grading and monitoring for urologists, radiologists, oncologists and GPs. Our mission is to detect malignant cancer and only treat when necessary.",,"Munich, Germany",XPreneurs
Air-up,"Full flavour, pure water: a drinking-system, that adds flavour to pure tab-water just by scent.",https://de.air-up.com/,"Munich, Germany",XPreneurs
Alganize,Alganize replaces pesticides and chemical fertilizers by using microalgae metabolites and enabling the soil microbiome.,https://alganize.de/,"Munich, Germany",XPreneurs
alteva,Alteva develops and produces superior batteries that accelerate the electrification of all modes of transportation and enable the shift to 100% renewable electricity.,https://alteva.tech/,"Munich, Germany",XPreneurs
AMendate (Exit),"AMendate is a software for automatic generation of high complex, lightweight designs of technical products, perfect for 3D printing.",,"Munich, Germany",XPreneurs
anabrid,"anabrid is the German deep-tech startup developing future superfast and energy efficient analog coprocessors for IoT, HPC, AI, aviation, and more.",https://anabrid.com/,"Munich, Germany",XPreneurs
Angsa Robotics,"Angsa develops an autonomous robot that can detect and selectively remove small-sized waste such as cigarette butts, plastic snippets or bottle caps on grass and gravel surfaces.",https://angsa-robotics.com/,"Munich, Germany",XPreneurs
aquiAIo,aquAIo offers smart maintenance as a service to water utilities by using smart sensor nodes and AI.,,"Munich, Germany",XPreneurs
Archive,Archive's SAAS-enabled Markeplace is the most profitable and full-service channel for sellers. Adapting to one new industry at a time.,https://en.archivist.store/,"Munich, Germany",XPreneurs
Ariadne Maps,Generating detailed customer/retail analytics with the greatest accuracy possible!,https://ariadnemaps.com/,"Munich, Germany",XPreneurs
Augmented Industries,"The mission of Augmented Industries is to empower people, and transform manufacturing: with science-backed microlearning that is loved by operators, we improve operational excellence and unlock lifelong learning for factory employees.",https://augmented-industries.de/,"Munich, Germany",XPreneurs
Auta Health,Medigital automates the capacity management of hospitals – saving time of doctors and nurses and increasing the hospitals’ efficiency.,https://www.auta.health/,"Munich, Germany",XPreneurs
Autarkize,Autarkize scales a technology that can produce carbon neutral gas and in parallel permanently extract millions of tons of CO2 from the atmosphere.,https://autarkize.com/,"Munich, Germany",XPreneurs
AVES Reality,"AVES Reality creates a virtual copy of the Earth - Ready for simulation, gaming, VR and more.",https://avesreality.com/,"Munich, Germany",XPreneurs
AWAKE Mobility,AWAKE Mobility develops a predictive maintenance platform for public bus operators.,https://www.awakemobility.de/,"Munich, Germany",XPreneurs
BAVERTIS,BAVERTIS uses AI-controlled power electronics for electric vehicles to improve safety and battery life time by generating and evaluating battery data.,https://bavertis.com/,"Munich, Germany",XPreneurs
Beamler,Beamler is a SaaS company that helps engineers to get access to a worldwide 3D Print network.,https://www.beamler.com/,"Munich, Germany",XPreneurs
beepz,"beepz helps people with an active lifestyle and a need for long-term medication in staying on track: no forgetting, no overdosis, no annoying alerts. It is the most unobtrusive solution designed to fit the active lifestyle: a small, portable hardware connected to a medication app.",,"Munich, Germany",XPreneurs
behamics,behamics combines Behavioral Science with AI to optimize conversion and return rates in E-Commerce,https://www.behamics.com/,"Munich, Germany",XPreneurs
bill.less,bill.less offers a digital receipt at the POS and an app for efficient receipt storage.,,"Munich, Germany",XPreneurs
Black Tea Motorbikes,"Combining the utility of cargo bikes & the convenience of motorbikes, our electric motorbikes are the perfect urban & rural vehicles. You can build your own motorbike (like in IKEA) by adding a variety of racks or storages that suit your needs.",https://www.blackteamotorbikes.com/,"Munich, Germany",XPreneurs
BlinkIn,"BlinkIn is a smart visual assistant for solving real-life problems of companies and their customers. Our service is available in seconds on every smartphone worldwide without downloading an app. BlinkIn is used and trained to guide a person through specific crucial tasks, e.g. maintenance or repair.",https://blinkin.io/,"Munich, Germany",XPreneurs
Blitzminds,We are BlitzMinds and we develop the first knowledge management tool for lean innovation methods. Our combination of user centric features and a modern graph database increases the innovative power of our customers.,http://blitzminds.com/,"Munich, Germany",XPreneurs
BODYVISER,"BODYVISER aims to empower individuals to be their own health manager. We provide individuals with tools to measure their body state at home, we analyze the data based on deep learning and personal coaches and offer the customer continuous coaching to reach a healthy, preventive lifestyle.",,"Munich, Germany",XPreneurs
boost.fit,Your personal AI fitness coach.,https://www.boost.fit/,"Munich, Germany",XPreneurs
Brainamics,Brainamics uses EEGs to measure human brain activity and applies ML to extract the emotional state of a person.,https://www.brainamics.de/,"Munich, Germany",XPreneurs
CAALA,CAALA helps architects assess the financial and environmental impact of design decisions within seconds during the early planning phase.,https://caala.de/,"Munich, Germany",XPreneurs
Cabasus,Equestrian Fitness & Health Tracker that tracks the movements of the horse 24/7 and gives insights into its performance and wellbeing.,https://www.cabasus.com/,"Munich, Germany",XPreneurs
CareMates,"CareMates is the AI co-pilot for patient admissions in care facilities, reducing the admission time for care givers and patients by 80%.",https://caremates.de/,"Munich, Germany",XPreneurs
Castor,CASTOR - the Manufacturers' Gateway to Industrial 3D Printing,https://www.3dcastor.com/,"Munich, Germany",XPreneurs
CedarDB,CedarDB jump-starts the future of data management with a lightning-fast SQL-based analytical and transactional database system that leaves no room for compromise.,https://cedardb.com/,"Munich, Germany",XPreneurs
Celestial Space Technologies,"Celestial aims to enable cislunar communication. This will be realized through deep space qualified antennae for currently unexploited earth orbits, and a data relay CubeSat constellation in lunar orbit, thus aligning with strongly increasing lunar exploration activities.",https://celestialspacetechnologies.com/,"Munich, Germany",XPreneurs
Cellbricks,We bioprint complex living fabrics to advance biological research and regenerative medicine.,http://cellbricks.com/,"Munich, Germany",XPreneurs
Celus,"CELUS is the future of electronics engineering. Schematics, PCB-Floorplanning and software at the push of a button. Our software radically reduces costs and efforts by up to 90%. Furthermore, it eliminates knowledge barriers in the field of electronics engineering.",https://www.celus.io/,"Munich, Germany",XPreneurs
Certchain,"Certchain uses cutting edge technology to create and maintain a safer, higher quality, sustainable and more productive Built Environment.",https://certchain.net/,"Munich, Germany",XPreneurs
Certivity,"Certivity’s SaaS connects the regulatory world to the engineering processes, resulting in an smart & transparent management of regulatory requirements.",https://www.certivity.io/,"Munich, Germany",XPreneurs
Cesonia,"Cesonia acts, feels and behaves like a cloud platform, but without storing any data itself. It enables data sharing across companies through a decentralized data network and without compromising on security and control, to provides a unified data view as well as a “Single Point of Truth”.",https://www.cesonia.io/de/,"Munich, Germany",XPreneurs
Climedo,Climedo empowers doctors to bring personalized therapies to patients faster by providing them with an intelligent software solution to efficiently and safely conduct complex treatments.,https://climedo.de/,"Munich, Germany",XPreneurs
Cliniserve,"Cliniserve automizes nursing processes and thus makes the work of nurses more enjoyable and efficient. The first product is a nurse-patient communication solution for hospitals that allows nurses to prioritize tasks, reduce their walking distance and automize documentation.",https://cliniserve.de/,"Munich, Germany",XPreneurs
